"Variables ->","obs_l_gdp","obs_dl_cpi","obs_rs","obs_dl_cpi_targ","obs_rrs_ex"
"Comments ->","Real Gross Domestic Product","Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average","3-Month Treasury Bill Secondary Market Rate","",""
"Class[Size] ->","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]"
"1970Q3",8.51566342e+02,4.30289627e+00,6.32666667e+00,NaN,2.37377039e+00
"1970Q4",8.50488921e+02,5.23310816e+00,5.35333333e+00,NaN,1.09355850e+00
"1971Q1",8.53168685e+02,3.55845452e+00,3.84000000e+00,NaN,1.79487881e+00
"1971Q2",8.53708346e+02,4.80197844e+00,4.25000000e+00,NaN,-9.61978439e-01
"1971Q3",8.54527945e+02,2.85375765e+00,5.01000000e+00,NaN,1.39624235e+00
"1971Q4",8.54763452e+02,2.51969337e+00,4.23000000e+00,NaN,2.49030663e+00
"1972Q1",8.56585706e+02,4.06094859e+00,3.43666667e+00,NaN,1.69051414e-01
"1972Q2",8.58830102e+02,2.78746773e+00,3.77000000e+00,NaN,6.49198940e-01
"1972Q3",8.59770053e+02,3.38073468e+00,4.22000000e+00,NaN,3.89265315e-01
"1972Q4",8.61430647e+02,3.35240058e+00,4.86333333e+00,NaN,8.67599425e-01
"1973Q1",8.63875326e+02,6.02421025e+00,5.70000000e+00,NaN,-1.16087692e+00
"1973Q2",8.64958106e+02,8.86954300e+00,6.60333333e+00,NaN,-3.16954300e+00
"1973Q3",8.64430819e+02,7.81783843e+00,8.32333333e+00,NaN,-1.21450510e+00
"1973Q4",8.65375559e+02,8.23015909e+00,7.50000000e+00,NaN,9.31742468e-02
"1974Q1",8.64512069e+02,9.16388569e+00,7.61666667e+00,NaN,-1.66388569e+00
"1974Q2",8.64749470e+02,9.49518983e+00,8.15333333e+00,NaN,-1.87852316e+00
"1974Q3",8.63799832e+02,1.13651517e+01,8.19000000e+00,NaN,-3.21181837e+00
"1974Q4",8.63410936e+02,1.25691649e+01,7.36000000e+00,NaN,-4.37916494e+00
"1975Q1",8.62186181e+02,8.24771488e+00,5.75000000e+00,NaN,-8.87714881e-01
"1975Q2",8.62898176e+02,4.67266303e+00,5.39333333e+00,NaN,1.07733697e+00
"1975Q3",8.64595345e+02,7.26852223e+00,6.33000000e+00,NaN,-1.87518889e+00
"1975Q4",8.65932884e+02,7.37457700e+00,5.62666667e+00,NaN,-1.04457700e+00
"1976Q1",8.68156732e+02,4.45360593e+00,4.91666667e+00,NaN,1.17306074e+00
"1976Q2",8.68887754e+02,3.25016298e+00,5.15666667e+00,NaN,1.66650369e+00
"1976Q3",8.69434960e+02,6.87696022e+00,5.15000000e+00,NaN,-1.72029355e+00
"1976Q4",8.70157196e+02,5.41769004e+00,4.67333333e+00,NaN,-2.67690043e-01
"1977Q1",8.71331755e+02,6.22926939e+00,4.63000000e+00,NaN,-1.55593605e+00
"1977Q2",8.73257212e+02,7.00236701e+00,4.84000000e+00,NaN,-2.37236701e+00
"1977Q3",8.75045482e+02,6.02810117e+00,5.49666667e+00,NaN,-1.18810117e+00
"1977Q4",8.75047668e+02,5.30652516e+00,6.11000000e+00,NaN,1.90141508e-01
"1978Q1",8.75366323e+02,7.51980371e+00,6.39333333e+00,NaN,-1.40980371e+00
"1978Q2",8.79157800e+02,9.40738656e+00,6.47666667e+00,NaN,-3.01405322e+00
"1978Q3",8.80158295e+02,9.19121358e+00,7.31333333e+00,NaN,-2.71454691e+00
"1978Q4",8.81493485e+02,8.40490244e+00,8.57000000e+00,NaN,-1.09156910e+00
"1979Q1",8.81673110e+02,1.01222876e+01,9.38333333e+00,NaN,-1.55228757e+00
"1979Q2",8.81779973e+02,9.68841028e+00,9.37666667e+00,NaN,-3.05076943e-01
"1979Q3",8.82520099e+02,9.27947005e+00,9.67333333e+00,NaN,9.71966210e-02
"1979Q4",8.82769862e+02,1.09984756e+01,1.18433333e+01,NaN,-1.32514226e+00
"1980Q1",8.83083887e+02,1.29126771e+01,1.33533333e+01,NaN,-1.06934376e+00
"1980Q2",8.81001891e+02,1.21802946e+01,9.61666667e+00,NaN,1.17303875e+00
"1980Q3",8.80882973e+02,7.48902624e+00,9.15333333e+00,NaN,2.12764042e+00
"1980Q4",8.82730723e+02,1.20739905e+01,1.36133333e+01,NaN,-2.92065720e+00
"1981Q1",8.84671202e+02,8.66906996e+00,1.43900000e+01,NaN,4.94426337e+00
"1981Q2",8.83927379e+02,7.58460342e+00,1.49066667e+01,NaN,6.80539658e+00
